nro_legajo;edad_ingreso;zona;distancia_km;horas_trabajo_sem;beca;promedio_1er_anio;materias_aprobadas_1er_anio;asistencia_pct;reinscripcion_tardia;abandona
32775;25;Oeste;1.9;21;si;5.57;1;69.9;no;no
93929;19;Norte;6.5;9;no;7.25;6;75.6;no;no
23852;23;Centro;8.9;13;no;9.4;8;84.7;no;no
29552;21;Oeste;8.8;38;no;5.12;3;66.2;no;si
49277;29;Norte;0.8;3;si;7.93;6;70.4;no;no
33461;21;Norte;24.6;26;si;7.52;5;71.3;si;no
53131;19;Norte;9.6;20;si;7.15;4;74.6;no;no
49758;24;Norte;3.6;14;no;5.72;6;100.0;no;no
33249;19;Sur;3.3;20;no;4.17;4;61.9;si;no
73882;19;Norte;16.9;15;no;7.46;6;66.6;no;si
47052;21;Sur;3.1;17;si;8.13;8;85.0;no;no
85300;23;Centro;7.2;14;no;7.57;7;83.9;no;no
88638;22;Sur;5.7;16;si;7.55;8;55.0;no;no
23296;23;Sur;4.3;20;no;5.8;3;80.3;no;no
87006;18;Sur;14.1;2;no;6.56;5;86.4;si;no
62203;19;Norte;4.9;19;no;6.76;7;61.6;si;no
29304;24;Rural;81.1;14;si;6.19;4;72.9;si;no
70169;21;Centro;0.5;8;no;5.47;2;69.0;no;no
36938;19;Norte;3.2;0;no;8.66;7;85.1;no;no
32582;22;Sur;15.9;7;si;6.99;7;76.0;no;no
70926;22;Sur;5.2;43;no;4.44;2;52.4;si;si
76382;23;Centro;2.9;23;no;5.72;4;61.7;no;si
74467;19;Norte;15.5;0;no;7.96;6;74.5;no;si
74098;20;Centro;2.5;12;no;5.21;3;88.4;no;no
70123;21;Centro;22.3;23;no;7.19;7;57.8;no;no
23083;21;Norte;0.9;16;no;6.8;6;73.4;no;no
42496;19;Norte;12.0;10;no;4.59;2;76.7;no;si
55404;20;Oeste;7.3;35;no;7.31;6;70.5;no;no
42082;20;Centro;7.9;9;no;6.12;5;65.0;no;no
80008;24;Oeste;6.1;30;si;6.62;8;63.5;si;no
50136;23;Sur;2.7;13;no;6.21;3;69.1;no;no
27337;20;Sur;5.0;16;no;6.04;5;89.4;no;no
81111;17;Centro;0.9;0;no;8.22;7;92.6;no;no
87345;24;Oeste;2.9;16;si;5.5;4;69.9;no;no
92743;18;Norte;0.5;16;si;7.92;8;79.5;no;no
60475;22;Norte;8.6;15;no;8.18;7;82.2;no;no
65057;22;Sur;4.0;22;no;4.41;5;72.3;no;no
99963;21;Norte;6.0;0;no;7.41;6;81.9;si;no
54424;21;Sur;3.9;20;no;6.69;5;65.0;si;si
37464;20;Centro;13.8;0;si;5.3;2;66.4;no;no
88025;25;Oeste;2.3;20;no;5.02;3;57.8;si;si
32348;25;Centro;9.5;0;no;7.99;6;80.7;no;no
68020;17;Norte;7.9;23;no;4.71;4;47.4;si;si
25570;19;Centro;2.6;19;no;7.4;7;70.6;no;no
63904;22;Centro;25.6;10;no;6.71;6;81.5;no;no
50114;24;Sur;13.5;24;no;7.55;9;64.4;si;no
83442;18;Centro;7.6;6;no;7.0;5;81.7;si;no
46607;23;Oeste;2.0;20;no;5.54;5;61.0;no;no
43243;17;Norte;30.8;0;no;6.88;6;81.0;no;no
43042;23;Rural;4.6;17;si;6.52;5;76.1;si;no
93230;20;Sur;12.6;19;si;3.55;1;78.6;no;si
21473;23;Centro;5.6;0;no;7.56;6;96.2;si;no
93243;19;Sur;1.3;41;no;2.62;1;66.7;no;no
29124;24;Centro;1.3;4;si;4.98;5;71.6;no;no
74923;19;Norte;2.3;6;no;7.78;9;81.6;no;no
78968;17;Centro;4.8;12;no;6.89;6;64.1;no;no
59819;20;Norte;1.1;3;no;6.65;5;95.7;no;si
23317;25;Sur;0.5;17;no;6.05;5;70.0;no;no
44910;19;Sur;3.1;11;si;5.63;2;74.4;no;no
63857;22;Centro;1.5;18;si;5.88;2;58.2;no;si
99804;20;Rural;9.1;13;si;4.27;2;61.0;no;si
65277;20;Norte;1.4;4;no;8.33;5;69.2;no;no
58223;25;Sur;6.4;15;si;7.2;7;82.1;no;no
83498;17;Centro;7.6;0;si;8.92;6;88.4;no;no
24140;25;Norte;7.3;3;no;6.93;5;82.3;no;no
59888;21;Oeste;2.7;16;si;5.91;5;66.8;no;no
86008;17;Norte;3.5;15;no;7.25;4;77.6;no;si
34572;20;Oeste;6.6;18;si;6.25;6;65.2;si;no
90691;24;Sur;21.7;35;no;8.61;8;66.0;no;no
81512;22;Sur;23.1;26;no;7.19;6;78.1;no;no
55483;21;Rural;58.4;36;no;8.13;5;66.4;no;si
52195;21;Sur;12.5;16;si;7.02;7;58.5;si;no
99103;19;Centro;0.7;2;no;7.47;8;74.4;si;no
44177;23;Sur;3.5;35;si;6.55;2;81.0;no;no
70237;24;Sur;6.9;22;no;5.63;5;77.8;si;no
22727;22;Oeste;5.7;10;si;7.4;4;69.4;no;no
92098;17;Centro;17.7;0;no;7.97;7;69.7;no;no
94573;18;Centro;7.4;13;no;7.84;8;64.2;no;no
37693;20;Rural;17.6;18;no;8.66;7;69.3;no;no
75768;23;Sur;7.9;17;no;6.27;4;66.5;no;no
29609;17;Centro;0.9;3;no;8.25;8;71.2;si;no
51347;27;Sur;6.5;17;si;7.71;6;67.4;no;no
36332;20;Norte;4.7;6;no;8.59;9;65.5;no;no
71471;22;Centro;2.8;33;no;3.78;2;60.4;si;si
61595;24;Sur;4.4;15;si;6.47;4;64.0;no;no
69639;22;Centro;8.9;18;no;5.88;8;70.2;no;no
81694;18;Centro;8.4;11;si;7.67;8;87.3;si;no
22163;22;Norte;1.0;12;no;7.14;5;75.7;no;no
85923;23;Norte;18.9;7;no;9.01;8;68.7;no;si
79268;18;Sur;3.4;20;no;6.8;4;71.4;no;no
84430;20;Rural;1.3;20;no;6.51;6;53.8;si;no
21399;22;Norte;10.8;0;no;7.19;7;74.5;no;no
82509;17;Centro;9.8;0;no;8.77;8;72.3;no;no
56729;19;Centro;4.5;11;no;7.03;6;74.3;no;no
55477;20;Centro;4.9;19;no;9.49;8;60.2;no;no
89987;19;Centro;4.3;18;si;7.39;8;55.9;no;no
25621;19;Norte;4.6;1;no;9.56;9;58.9;no;no
43156;19;Rural;16.2;31;no;6.34;3;61.3;no;no
26328;20;Oeste;5.3;32;no;4.48;5;64.7;si;no
46982;23;Centro;2.5;14;no;8.49;5;79.7;si;si
35658;17;Oeste;2.4;16;no;5.85;4;77.5;no;no
90791;20;Centro;1.4;29;no;6.33;5;79.5;no;no
94169;22;Oeste;9.5;6;si;6.42;7;73.1;no;no
28285;19;Norte;5.3;7;no;8.48;8;85.5;no;no
97094;18;Norte;12.3;16;no;9.13;8;67.0;si;no
73171;18;Norte;11.5;17;no;5.09;4;71.3;si;si
44050;20;Sur;27.4;18;no;7.62;7;90.9;no;no
91199;21;Rural;44.5;28;si;5.96;7;47.4;si;no
59184;24;Oeste;3.2;16;si;7.78;8;82.3;si;no
79393;22;Oeste;3.4;15;no;6.97;5;64.6;no;no
38179;21;Sur;2.2;21;si;5.78;5;68.4;no;no
65839;24;Rural;22.8;14;no;6.33;6;69.8;no;no
20892;21;Oeste;0.7;19;no;5.7;7;75.7;no;no
78257;24;Sur;2.7;10;no;5.7;4;58.7;no;no
27075;26;Rural;12.5;41;no;3.59;2;55.3;no;si
92467;22;Centro;0.7;6;no;8.69;8;75.6;no;no
61895;25;Centro;24.5;0;si;7.92;8;77.5;si;no
22173;21;Rural;4.5;22;no;6.02;5;79.0;no;no
36996;18;Centro;9.3;5;no;7.64;8;82.4;no;no
54397;22;Centro;3.9;0;no;4.99;4;90.1;no;si
52583;22;Norte;6.5;9;no;6.64;5;77.2;si;no
80532;25;Oeste;9.2;10;si;7.95;5;57.9;si;no
58540;21;Sur;5.9;20;no;8.6;7;52.5;no;no
77076;21;Sur;26.0;40;si;5.46;5;62.3;si;no
58426;24;Oeste;11.4;20;si;5.07;3;78.7;no;si
21378;21;Oeste;10.3;0;si;4.5;3;86.7;no;no
92268;22;Centro;1.6;6;no;8.45;9;63.5;si;no
52886;21;Rural;14.3;17;no;6.66;6;70.2;no;no
97591;18;Sur;9.6;0;si;5.57;2;88.4;no;no
59678;20;Oeste;0.9;24;no;7.31;6;71.1;no;no
32217;18;Sur;18.5;20;no;5.09;2;59.6;no;si
49523;19;Norte;1.7;16;no;6.97;7;69.5;no;no
40704;21;Centro;16.2;14;no;9.28;8;81.3;si;no
56307;17;Oeste;13.6;17;no;6.67;6;73.3;si;no
77423;23;Centro;5.0;26;no;6.39;3;66.7;no;si
39144;19;Oeste;6.2;22;no;10.0;9;82.0;no;no
57475;17;Centro;5.4;0;no;7.36;7;82.5;no;no
97783;19;Centro;1.5;0;no;6.76;5;61.5;si;no
74940;23;Oeste;4.1;22;no;6.38;1;70.5;no;si
59502;21;Sur;3.7;9;no;6.74;5;59.2;no;no
29843;17;Centro;1.0;11;no;5.18;2;68.1;no;no
97170;19;Centro;15.3;5;no;8.18;8;75.3;no;no
20809;23;Norte;4.7;0;no;6.99;8;80.8;no;no
99392;21;Oeste;1.9;16;si;6.08;4;85.2;no;no
39792;24;Norte;14.6;20;no;7.1;6;66.5;no;no
60886;24;Oeste;7.1;20;no;6.5;7;76.7;no;no
70828;22;Rural;3.2;14;no;8.09;5;68.5;no;no
47270;23;Oeste;2.5;23;si;4.03;0;79.9;si;si
31880;24;Rural;73.1;30;no;8.68;9;63.5;no;no
63306;22;Sur;21.2;4;no;6.49;3;82.1;no;no
96814;20;Rural;15.3;19;si;8.0;5;61.7;no;no
31739;19;Centro;23.3;14;no;8.36;6;68.7;no;no
68294;21;Centro;26.9;10;no;9.48;9;71.9;no;no
77086;17;Oeste;2.3;26;si;8.3;5;65.0;si;no
68795;20;Rural;7.1;23;no;4.99;2;69.8;no;no
44817;21;Sur;11.5;26;no;7.43;6;81.1;no;no
50660;22;Sur;5.7;8;no;4.58;0;80.1;si;no
80911;22;Oeste;7.9;22;si;5.15;6;75.8;no;no
47180;22;Norte;3.7;3;no;7.24;5;61.1;no;no
57603;23;Rural;26.6;17;no;6.02;4;69.5;no;no
91217;20;Centro;5.1;6;no;6.6;6;82.2;no;no
83326;20;Centro;13.8;3;no;6.4;5;66.0;no;no
40062;24;Oeste;0.5;22;no;4.19;0;66.0;no;no
78996;22;Sur;18.8;14;no;5.69;4;79.1;no;no
74641;22;Oeste;3.6;17;no;5.23;3;82.0;si;no
99797;19;Norte;2.7;0;no;8.56;8;65.3;no;no
62640;19;Centro;5.8;0;no;7.14;8;100.0;no;no
55450;21;Sur;2.1;0;no;8.9;9;64.1;no;no
91402;20;Sur;2.5;24;si;8.48;7;58.8;no;no
21848;18;Centro;24.3;3;si;8.17;8;81.9;no;no
60500;21;Sur;9.6;23;no;5.28;6;80.2;si;no
21176;23;Oeste;7.7;18;no;7.27;7;72.2;no;no
66311;18;Rural;9.6;30;no;4.63;1;60.9;no;si
47684;24;Oeste;1.3;15;si;8.39;7;81.7;no;no
59954;19;Sur;10.8;17;si;7.36;7;67.1;no;no
60046;18;Sur;9.9;25;no;7.57;8;68.1;no;no
20803;19;Norte;8.9;34;si;8.66;7;65.0;no;no
84118;21;Sur;3.8;1;no;7.73;4;85.7;no;no
69340;21;Sur;0.5;10;si;7.14;3;87.6;no;si
59619;18;Sur;3.9;24;no;6.68;5;78.1;no;no
54767;17;Sur;5.9;10;si;7.55;7;77.2;no;no
43904;25;Sur;7.0;26;si;4.51;5;72.6;no;no
83623;19;Oeste;7.4;12;no;8.07;8;92.9;no;no
79719;17;Centro;8.7;1;no;7.92;7;66.0;no;no
93988;19;Norte;3.7;23;no;6.72;6;62.6;no;si
37401;20;Norte;5.4;14;no;6.83;7;86.1;no;no
61881;25;Rural;54.8;13;no;4.25;1;58.8;si;si
54644;17;Sur;6.6;18;no;5.77;5;72.1;no;no
65697;19;Centro;0.5;7;no;8.52;9;79.6;no;no
99345;17;Norte;3.3;18;no;5.27;2;86.7;no;si
32678;22;Oeste;9.6;16;no;7.04;4;79.0;no;no
80990;20;Centro;1.2;0;no;6.58;7;83.8;si;no
70201;17;Oeste;4.9;22;no;5.34;5;78.2;no;no
51767;23;Rural;3.9;18;si;8.44;8;66.5;no;no
66236;21;Rural;5.9;14;no;6.13;6;86.0;no;no
26414;20;Sur;9.8;6;no;4.35;1;79.6;no;no
48999;23;Norte;0.7;12;no;8.58;7;78.0;si;no
62881;22;Centro;12.3;3;si;9.55;9;93.7;no;no
72797;21;Centro;3.5;9;no;9.51;9;54.3;no;no
93186;23;Centro;2.0;14;no;8.25;9;75.0;no;no
88626;23;Oeste;16.6;39;no;4.94;4;55.0;si;si
72988;20;Norte;1.1;8;no;9.24;8;71.5;no;no
42917;22;Norte;0.5;15;si;8.26;5;80.6;no;no
84704;19;Oeste;3.7;23;si;5.54;6;67.2;no;no
96300;24;Centro;12.1;2;no;9.7;9;76.4;no;no
55741;21;Centro;2.5;11;no;9.21;8;87.2;no;no
53176;17;Norte;5.4;12;no;9.17;9;72.5;no;no
80332;21;Oeste;11.6;26;si;4.81;5;58.1;no;no
62290;18;Centro;0.9;11;no;5.9;5;69.0;no;si
74585;19;Centro;0.7;11;no;7.63;5;90.2;no;no
77908;25;Rural;6.3;27;si;4.77;4;60.1;si;si
63469;22;Oeste;4.7;39;si;7.95;7;43.3;si;no
74417;28;Oeste;4.8;40;no;7.49;7;51.2;no;no
76167;18;Centro;6.2;17;no;4.83;2;77.7;no;si
55702;21;Oeste;0.5;16;no;7.87;7;93.5;no;si
51315;23;Rural;62.1;24;no;4.25;1;61.5;si;si
86231;24;Oeste;10.2;39;no;5.99;5;77.4;no;no
24077;21;Sur;25.8;15;si;7.38;6;69.1;no;no
76777;23;Oeste;2.5;10;si;6.13;4;87.9;no;no
22107;19;Rural;13.0;23;no;5.83;3;66.2;si;no
25459;21;Norte;4.9;6;si;6.06;6;78.9;no;no
95821;27;Oeste;18.9;20;si;4.41;5;55.3;no;no
21374;23;Sur;1.4;21;si;6.11;7;68.6;no;no
89420;22;Sur;0.5;26;si;5.04;7;65.7;no;no
89870;21;Sur;3.6;19;no;6.56;5;64.7;no;si
85122;23;Norte;1.2;23;no;5.96;6;69.3;no;si
92820;20;Centro;2.4;10;no;7.78;6;75.0;no;no
68081;23;Oeste;1.4;24;no;7.13;6;79.0;no;no
27184;21;Sur;25.0;32;no;7.21;7;72.3;no;no
59559;21;Sur;1.0;41;no;7.1;5;59.0;no;no
61093;20;Norte;2.0;23;no;3.39;2;76.6;no;si
66824;20;Sur;10.4;13;si;5.0;2;63.4;si;si
75070;20;Centro;5.8;5;no;10.0;9;90.3;si;no
38182;24;Sur;0.5;17;no;8.6;9;73.4;si;no
33114;20;Sur;10.2;10;si;5.89;3;81.4;no;no
66577;21;Norte;2.0;7;si;9.53;7;69.4;no;no
81076;22;Norte;24.1;9;no;7.66;4;74.8;no;no
27227;25;Sur;8.8;0;no;6.28;3;89.4;no;no
43875;18;Centro;23.3;15;si;6.32;4;62.1;no;no
44768;17;Centro;0.9;5;no;6.88;4;79.0;no;no
58632;17;Centro;4.5;7;no;8.74;8;92.7;si;no
58506;23;Norte;0.9;1;no;7.46;6;90.4;no;no
27115;20;Rural;44.2;9;no;6.6;6;77.5;no;no
96511;20;Oeste;8.6;16;no;6.57;3;72.8;no;no
51850;17;Sur;2.1;38;no;5.79;3;70.4;no;no
54626;23;Oeste;15.0;23;no;6.71;5;79.4;no;no
48673;20;Norte;5.2;6;no;8.43;6;73.6;no;no
43702;17;Oeste;2.2;18;si;6.72;6;70.1;no;no
31740;24;Oeste;3.7;20;no;5.89;3;90.7;no;no
79471;18;Centro;20.5;1;no;7.47;7;84.7;no;no
33701;19;Sur;8.4;37;no;4.92;4;62.0;no;si
97673;19;Norte;1.6;0;si;8.37;7;76.1;no;no
69928;23;Rural;46.6;9;si;5.35;5;84.4;no;no
30113;20;Sur;1.3;32;no;4.54;3;74.0;no;si
92275;17;Rural;9.0;37;no;6.3;5;48.8;no;si
77369;19;Oeste;0.8;22;no;7.3;8;69.6;no;no
83287;24;Norte;4.7;0;no;7.27;7;68.4;no;no
83345;21;Rural;14.0;29;si;4.25;3;95.3;si;no
54877;19;Rural;32.5;24;no;8.52;8;46.8;no;no
81601;25;Norte;0.7;0;no;7.07;7;87.0;no;no
72575;21;Sur;7.5;17;no;7.2;7;83.2;no;no
33983;21;Centro;19.9;0;no;8.45;9;77.8;no;no
45623;20;Sur;7.9;29;no;4.21;5;63.9;si;no
58938;23;Sur;0.5;27;si;6.3;5;57.9;no;no
22426;21;Sur;8.9;32;no;6.01;5;73.2;no;no
38860;18;Centro;7.0;15;si;6.95;6;67.4;no;no
66266;24;Sur;7.7;21;no;7.14;7;63.5;si;si
73779;21;Norte;2.0;14;no;7.84;7;67.4;no;no
77845;21;Sur;11.5;24;no;7.4;3;80.5;no;no
49888;22;Oeste;32.5;8;no;7.37;3;84.4;no;no
50064;21;Sur;4.5;7;no;7.55;6;75.4;no;no
86420;21;Centro;0.5;0;no;6.71;5;77.3;si;no
61592;20;Norte;1.4;7;no;8.45;8;67.3;no;no
80761;21;Rural;23.1;27;si;5.05;5;65.0;no;no
68265;17;Norte;6.6;10;no;6.58;4;69.8;no;si
84706;22;Centro;9.7;21;no;5.79;6;70.0;no;no
56124;17;Centro;7.0;13;si;6.36;4;73.2;no;no
58746;21;Sur;1.1;27;no;4.48;4;74.8;no;si
95924;24;Centro;13.4;7;no;6.33;6;78.9;no;no
57122;20;Norte;2.8;19;no;8.09;6;59.0;no;no
90806;18;Oeste;6.0;20;si;7.47;8;74.2;no;no
85047;22;Rural;24.8;18;si;6.22;6;71.9;no;no
55174;20;Norte;0.5;15;no;2.72;0;75.6;no;no
86988;17;Centro;1.4;25;no;7.14;4;70.9;si;si
60165;23;Norte;12.1;28;no;6.98;5;74.7;no;no
90814;21;Rural;35.6;23;si;6.53;3;43.7;no;no
39753;22;Centro;15.7;11;si;6.5;4;90.1;no;no
74526;23;Oeste;6.8;45;si;5.11;7;76.5;no;no
81984;23;Rural;5.9;20;no;6.37;5;66.4;no;si
43938;22;Norte;21.8;12;no;7.2;8;93.1;no;no
57534;26;Centro;3.5;22;no;5.46;4;80.2;si;si
89991;23;Oeste;13.2;38;si;6.33;6;61.6;si;si
67108;17;Centro;14.6;10;si;7.63;5;75.8;no;no
36468;23;Oeste;11.1;29;si;4.88;5;55.8;si;no
44703;20;Rural;1.0;43;no;7.9;7;60.4;si;no
27458;18;Norte;0.7;18;si;9.21;9;71.5;no;no
96343;17;Centro;6.7;0;no;8.21;7;78.1;no;no
28868;21;Sur;3.2;14;no;7.66;5;81.8;si;no
66140;23;Oeste;9.7;35;si;4.65;2;59.4;no;si
77560;22;Sur;2.4;24;no;5.85;5;73.5;no;no
48170;18;Norte;8.2;7;no;6.0;6;66.9;no;no
77358;20;Sur;0.5;19;no;7.75;8;68.5;no;no
33789;22;Oeste;0.9;19;no;7.76;5;85.1;si;no
32717;19;Norte;2.7;24;no;7.67;7;71.4;no;no
86496;27;Sur;55.9;21;no;3.09;2;56.3;no;si
80500;19;Centro;1.7;6;no;8.01;8;88.5;no;no
93976;23;Oeste;19.0;22;si;7.02;6;75.4;no;no
77276;22;Oeste;2.0;0;si;7.13;7;69.5;no;no
38629;22;Centro;20.0;11;si;7.61;6;84.9;no;no
35849;18;Norte;19.0;19;si;8.55;7;62.7;no;no
99772;18;Norte;8.7;17;si;6.95;5;71.9;no;no
84055;21;Norte;1.8;18;no;5.23;4;71.5;no;no
28500;19;Norte;2.3;11;no;8.22;9;100.0;no;no
43681;23;Oeste;1.8;11;si;6.72;7;83.7;si;no
53988;21;Centro;5.1;15;no;4.68;4;75.9;no;no
88572;19;Centro;3.5;0;no;9.76;9;76.3;si;no
43548;23;Sur;3.6;33;no;5.69;2;77.3;no;si
79809;17;Centro;21.7;13;no;8.52;8;67.4;no;no
81881;22;Oeste;0.5;25;si;3.27;1;57.8;si;si
88880;22;Oeste;4.0;16;no;7.83;6;60.5;no;no
20563;20;Oeste;4.4;21;no;4.39;4;66.0;no;no
35972;20;Sur;7.8;0;no;7.52;6;95.5;no;no
78615;25;Centro;9.7;20;no;6.67;6;89.6;no;no
38156;23;Rural;43.9;8;si;5.6;5;64.2;si;no
65660;20;Centro;16.1;15;no;5.85;6;52.5;si;no
30226;20;Centro;1.6;12;no;9.64;8;81.0;no;no
88359;23;Sur;28.6;30;no;7.15;4;74.0;no;no
92337;19;Rural;90.0;19;si;6.89;3;62.8;no;no
87026;23;Norte;4.0;22;no;7.6;8;71.4;no;no
29413;22;Oeste;2.1;6;no;7.97;7;91.2;si;no
91597;22;Sur;11.0;10;no;7.03;6;74.3;no;no
37951;23;Centro;4.2;20;no;6.6;4;61.4;no;no
47899;19;Sur;0.6;18;no;7.09;3;74.4;no;no
94523;17;Rural;24.9;9;no;5.96;3;82.8;no;si
34622;21;Oeste;8.1;30;si;6.14;2;53.8;no;si
35045;17;Oeste;7.3;8;no;7.11;7;95.4;no;no
97116;20;Sur;4.3;37;no;6.3;3;47.7;no;si
25589;19;Centro;0.5;0;no;10.0;9;80.3;si;no
69608;19;Norte;23.6;22;si;8.05;9;71.1;no;no
51284;20;Centro;2.9;5;no;8.77;8;73.4;no;no
72493;19;Sur;3.5;0;si;6.28;2;100.0;no;no
75963;21;Sur;1.0;18;no;7.4;6;83.6;no;no
24399;21;Centro;12.5;2;si;7.21;8;95.5;si;no
77397;22;Sur;2.2;23;no;5.34;4;76.3;no;no
92225;22;Oeste;4.0;41;no;5.05;5;66.7;no;no
85914;17;Norte;4.0;15;no;7.99;9;65.4;no;no
20736;24;Sur;1.5;30;si;4.62;5;65.5;no;si
36448;21;Norte;3.4;4;no;7.14;6;81.4;no;no
81449;18;Centro;8.9;12;no;8.41;9;82.9;no;no
39758;18;Centro;11.2;1;no;7.52;7;69.4;no;no
29652;19;Centro;1.7;20;no;7.55;6;93.4;no;no
44036;17;Centro;5.0;23;no;5.13;3;68.4;no;si
82592;22;Oeste;1.7;26;si;4.75;3;43.4;no;no
73677;22;Centro;7.2;0;si;6.67;7;78.3;no;no
48940;25;Oeste;11.7;14;no;5.47;6;73.2;no;no
27169;23;Oeste;1.1;1;si;6.54;6;74.8;no;no
86077;23;Oeste;5.6;14;no;6.29;5;75.8;no;no
26400;19;Oeste;2.8;14;si;5.99;7;97.1;no;no
68209;22;Rural;25.4;24;no;3.32;1;74.8;no;si
93043;26;Sur;10.4;25;si;6.04;5;57.7;no;no
37459;19;Norte;2.3;10;no;6.11;7;99.5;no;no
58919;19;Oeste;8.8;30;si;8.67;8;66.4;no;no
89480;19;Centro;0.5;3;si;5.83;6;83.2;no;no
88212;19;Norte;3.9;21;no;5.23;5;61.4;si;si
55927;27;Centro;3.6;14;no;5.73;4;74.2;si;si
81247;25;Rural;55.7;30;si;5.46;4;64.4;no;si
41570;19;Norte;0.9;33;no;6.63;5;76.9;si;no
96882;19;Oeste;1.6;29;no;8.48;8;54.9;si;no
56182;21;Rural;5.2;45;no;8.05;7;50.5;no;si
31614;24;Sur;7.7;11;si;7.04;5;61.0;no;no
91662;22;Oeste;1.1;17;si;6.81;7;83.6;no;no
65330;20;Norte;0.5;22;si;5.36;5;79.6;no;no
68774;20;Norte;2.1;15;no;5.62;3;81.4;no;no
25472;20;Rural;10.5;24;no;6.31;6;52.1;si;si
27820;17;Rural;0.6;18;no;5.63;4;82.6;no;si
65738;21;Centro;0.5;15;si;5.66;1;77.5;no;si
72378;21;Oeste;2.2;43;no;5.64;4;59.5;no;si
59868;23;Oeste;1.3;27;no;6.56;6;62.5;si;si
53353;20;Sur;3.5;25;si;7.19;5;81.6;si;no
83818;17;Centro;3.5;0;no;9.07;8;69.0;no;no
30482;17;Sur;2.5;34;no;4.6;3;54.8;no;no
25545;17;Sur;1.0;42;no;6.05;6;72.7;no;no
24824;20;Centro;8.8;22;no;6.85;5;42.2;si;si
45335;17;Sur;8.4;17;si;6.04;6;61.7;no;no
35940;19;Rural;0.5;43;no;4.25;3;57.9;si;si
54237;21;Centro;3.7;5;no;6.64;3;86.8;no;no
35836;19;Oeste;23.9;26;no;7.89;5;51.1;si;si
67338;17;Norte;4.1;8;no;6.27;5;77.7;si;no
34280;20;Oeste;5.0;24;si;7.75;6;90.9;no;no
88313;22;Sur;7.3;28;no;5.85;5;68.7;si;si
73027;20;Norte;24.6;21;no;6.04;5;65.2;no;no
69041;20;Sur;18.6;36;no;6.0;2;57.0;si;si
80841;21;Centro;1.3;35;no;4.57;6;63.7;no;no
28399;22;Oeste;13.1;9;no;6.36;3;79.1;si;si
70208;19;Norte;9.4;0;no;7.49;6;74.0;no;no
63301;24;Rural;6.5;24;si;6.6;6;67.9;si;no
